GEODES001-nonrRNA-F.fastq	GEODES001-nonrRNA-R.fastq	GEODES001
GEODES002-nonrRNA-F.fastq	GEODES002-nonrRNA-R.fastq	GEODES002
GEODES003-nonrRNA-F.fastq	GEODES003-nonrRNA-R.fastq	GEODES003
GEODES009-nonrRNA-F.fastq	GEODES009-nonrRNA-R.fastq	GEODES009
GEODES010-nonrRNA-F.fastq	GEODES010-nonrRNA-R.fastq	GEODES010
GEODES011-nonrRNA-F.fastq	GEODES011-nonrRNA-R.fastq	GEODES011
GEODES014-nonrRNA-F.fastq	GEODES014-nonrRNA-R.fastq	GEODES014
GEODES016-nonrRNA-F.fastq	GEODES016-nonrRNA-R.fastq	GEODES016
GEODES017-nonrRNA-F.fastq	GEODES017-nonrRNA-R.fastq	GEODES017
GEODES018-nonrRNA-F.fastq	GEODES018-nonrRNA-R.fastq	GEODES018
GEODES019-nonrRNA-F.fastq	GEODES019-nonrRNA-R.fastq	GEODES019
GEODES020-nonrRNA-F.fastq	GEODES020-nonrRNA-R.fastq	GEODES020
GEODES021-nonrRNA-F.fastq	GEODES021-nonrRNA-R.fastq	GEODES021
GEODES022-nonrRNA-F.fastq	GEODES022-nonrRNA-R.fastq	GEODES022
GEODES023-nonrRNA-F.fastq	GEODES023-nonrRNA-R.fastq	GEODES023
GEODES024-nonrRNA-F.fastq	GEODES024-nonrRNA-R.fastq	GEODES024
GEODES026-nonrRNA-F.fastq	GEODES026-nonrRNA-R.fastq	GEODES026
GEODES027-nonrRNA-F.fastq	GEODES027-nonrRNA-R.fastq	GEODES027
GEODES028-nonrRNA-F.fastq	GEODES028-nonrRNA-R.fastq	GEODES028
GEODES029-nonrRNA-F.fastq	GEODES029-nonrRNA-R.fastq	GEODES029
GEODES030-nonrRNA-F.fastq	GEODES030-nonrRNA-R.fastq	GEODES030
GEODES031-nonrRNA-F.fastq	GEODES031-nonrRNA-R.fastq	GEODES031
GEODES032-nonrRNA-F.fastq	GEODES032-nonrRNA-R.fastq	GEODES032
GEODES033-nonrRNA-F.fastq	GEODES033-nonrRNA-R.fastq	GEODES033
GEODES035-nonrRNA-F.fastq	GEODES035-nonrRNA-R.fastq	GEODES035
GEODES036-nonrRNA-F.fastq	GEODES036-nonrRNA-R.fastq	GEODES036
GEODES037-nonrRNA-F.fastq	GEODES037-nonrRNA-R.fastq	GEODES037
GEODES038-nonrRNA-F.fastq	GEODES038-nonrRNA-R.fastq	GEODES038
GEODES039-nonrRNA-F.fastq	GEODES039-nonrRNA-R.fastq	GEODES039
GEODES040-nonrRNA-F.fastq	GEODES040-nonrRNA-R.fastq	GEODES040
GEODES041-nonrRNA-F.fastq	GEODES041-nonrRNA-R.fastq	GEODES041
GEODES042-nonrRNA-F.fastq	GEODES042-nonrRNA-R.fastq	GEODES042
GEODES043-nonrRNA-F.fastq	GEODES043-nonrRNA-R.fastq	GEODES043
GEODES045-nonrRNA-F.fastq	GEODES045-nonrRNA-R.fastq	GEODES045
GEODES046-nonrRNA-F.fastq	GEODES046-nonrRNA-R.fastq	GEODES046
GEODES047-nonrRNA-F.fastq	GEODES047-nonrRNA-R.fastq	GEODES047
GEODES049-nonrRNA-F.fastq	GEODES049-nonrRNA-R.fastq	GEODES049
GEODES050-nonrRNA-F.fastq	GEODES050-nonrRNA-R.fastq	GEODES050
GEODES051-nonrRNA-F.fastq	GEODES051-nonrRNA-R.fastq	GEODES051
GEODES053-nonrRNA-F.fastq	GEODES053-nonrRNA-R.fastq	GEODES053
GEODES054-nonrRNA-F.fastq	GEODES054-nonrRNA-R.fastq	GEODES054
GEODES055-nonrRNA-F.fastq	GEODES055-nonrRNA-R.fastq	GEODES055
GEODES061-nonrRNA-F.fastq	GEODES061-nonrRNA-R.fastq	GEODES061
GEODES062-nonrRNA-F.fastq	GEODES062-nonrRNA-R.fastq	GEODES062
GEODES063-nonrRNA-F.fastq	GEODES063-nonrRNA-R.fastq	GEODES063
GEODES064-nonrRNA-F.fastq	GEODES064-nonrRNA-R.fastq	GEODES064
GEODES065-nonrRNA-F.fastq	GEODES065-nonrRNA-R.fastq	GEODES065
GEODES066-nonrRNA-F.fastq	GEODES066-nonrRNA-R.fastq	GEODES066
GEODES067-nonrRNA-F.fastq	GEODES067-nonrRNA-R.fastq	GEODES067
GEODES068-nonrRNA-F.fastq	GEODES068-nonrRNA-R.fastq	GEODES068
GEODES069-nonrRNA-F.fastq	GEODES069-nonrRNA-R.fastq	GEODES069
GEODES070-nonrRNA-F.fastq	GEODES070-nonrRNA-R.fastq	GEODES070
GEODES071-nonrRNA-F.fastq	GEODES071-nonrRNA-R.fastq	GEODES071
GEODES072-nonrRNA-F.fastq	GEODES072-nonrRNA-R.fastq	GEODES072
GEODES073-nonrRNA-F.fastq	GEODES073-nonrRNA-R.fastq	GEODES073
GEODES074-nonrRNA-F.fastq	GEODES074-nonrRNA-R.fastq	GEODES074
GEODES075-nonrRNA-F.fastq	GEODES075-nonrRNA-R.fastq	GEODES075
GEODES077-nonrRNA-F.fastq	GEODES077-nonrRNA-R.fastq	GEODES077
GEODES078-nonrRNA-F.fastq	GEODES078-nonrRNA-R.fastq	GEODES078
GEODES079-nonrRNA-F.fastq	GEODES079-nonrRNA-R.fastq	GEODES079
GEODES081-nonrRNA-F.fastq	GEODES081-nonrRNA-R.fastq	GEODES081
GEODES082-nonrRNA-F.fastq	GEODES082-nonrRNA-R.fastq	GEODES082
GEODES083-nonrRNA-F.fastq	GEODES083-nonrRNA-R.fastq	GEODES083
GEODES085-nonrRNA-F.fastq	GEODES085-nonrRNA-R.fastq	GEODES085
GEODES100-nonrRNA-F.fastq	GEODES100-nonrRNA-R.fastq	GEODES100
GEODES101-nonrRNA-F.fastq	GEODES101-nonrRNA-R.fastq	GEODES101
GEODES102-nonrRNA-F.fastq	GEODES102-nonrRNA-R.fastq	GEODES102
GEODES103-nonrRNA-F.fastq	GEODES103-nonrRNA-R.fastq	GEODES103
GEODES104-nonrRNA-F.fastq	GEODES104-nonrRNA-R.fastq	GEODES104
GEODES110-nonrRNA-F.fastq	GEODES110-nonrRNA-R.fastq	GEODES110
